netName	maxScore	netType
GLUTATHIONE-MEDIATED_DETOXIFICATION_I	10	BRCA_mRNAArray-20160128
GLYCOLYSIS_I	10	BRCA_mRNAArray-20160128
GLYCOSPHINGOLIPID_METABOLISM	9	BRCA_mRNAArray-20160128
HEDGEHOG_LIGAND_BIOGENESIS	10	BRCA_mRNAArray-20160128
IMPORT_OF_PALMITOYL-COA_INTO_THE_MITOCHONDRIAL_MATRIX	10	BRCA_mRNAArray-20160128
INSULIN_RECEPTOR_RECYCLING	9	BRCA_mRNAArray-20160128
INTERLEUKIN-20_FAMILY_SIGNALING	10	BRCA_mRNAArray-20160128
INTERLEUKIN-27_SIGNALING	10	BRCA_mRNAArray-20160128
INTERLEUKIN-35_SIGNALLING	7	BRCA_mRNAArray-20160128
LKB1_SIGNALING_EVENTS	10	BRCA_mRNAArray-20160128
METAL_ION_SLC_TRANSPORTERS	10	BRCA_mRNAArray-20160128
MISCELLANEOUS_SUBSTRATES	10	BRCA_mRNAArray-20160128
MISMATCH_REPAIR__MMR__DIRECTED_BY_MSH2_MSH3__MUTSBETA_	7	BRCA_mRNAArray-20160128
MMR	9	BRCA_mRNAArray-20160128
NAplus_CL-_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	9	BRCA_mRNAArray-20160128
NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	10	BRCA_mRNAArray-20160128
OPSINS	10	BRCA_mRNAArray-20160128
ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	7	BRCA_mRNAArray-20160128
OVARIAN_TUMOR_DOMAIN_PROTEASES	10	BRCA_mRNAArray-20160128
PEROXISOMAL_LIPID_METABOLISM	10	BRCA_mRNAArray-20160128
PHASE_4_-_RESTING_MEMBRANE_POTENTIAL	10	BRCA_mRNAArray-20160128
PHASE_II_-_CONJUGATION_OF_COMPOUNDS	10	BRCA_mRNAArray-20160128
PID_ERA_GENOMIC_PATHWAY	9	BRCA_mRNAArray-20160128
PID_ERBB_NETWORK_PATHWAY	10	BRCA_mRNAArray-20160128
PID_HNF3A_PATHWAY	9	BRCA_mRNAArray-20160128
PID_LKB1_PATHWAY	10	BRCA_mRNAArray-20160128
PID_P38_GAMMA_DELTA_PATHWAY	9	BRCA_mRNAArray-20160128
PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	8	BRCA_mRNAArray-20160128
PURINE_NUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS_II	8	BRCA_mRNAArray-20160128
REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	10	BRCA_mRNAArray-20160128
RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	10	BRCA_mRNAArray-20160128
SA_G1_AND_S_PHASES	10	BRCA_mRNAArray-20160128
SA_REG_CASCADE_OF_CYCLIN_EXPR	9	BRCA_mRNAArray-20160128
SIGNALING_MEDIATED_BY_P38-GAMMA_AND_P38-DELTA	9	BRCA_mRNAArray-20160128
SYNTHESIS_OF_IP2._IP._AND_INS_IN_THE_CYTOSOL	10	BRCA_mRNAArray-20160128
SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL	9	BRCA_mRNAArray-20160128
SYNTHESIS_OF_LEUKOTRIENES__LT__AND_EOXINS__EX_	8	BRCA_mRNAArray-20160128
SYNTHESIS_OF_PC	9	BRCA_mRNAArray-20160128
SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	10	BRCA_mRNAArray-20160128
SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL	10	BRCA_mRNAArray-20160128
TFAP2__AP-2__FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	10	BRCA_mRNAArray-20160128
TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G1_CELL_CYCLE_ARREST	8	BRCA_mRNAArray-20160128
TP53_REGULATES_TRANSCRIPTION_OF_SEVERAL_ADDITIONAL_CELL_DEATH_GENES_WHOSE_SPECIFIC_ROLES_IN_P53-DEPENDENT_APOPTOSIS_REMAIN_UNCERTAIN	8	BRCA_mRNAArray-20160128
VALIDATED_NUCLEAR_ESTROGEN_RECEPTOR_ALPHA_NETWORK	9	BRCA_mRNAArray-20160128
ZINC_TRANSPORTERS	10	BRCA_mRNAArray-20160128
