netName	maxScore	netType
PID_IL27_PATHWAY	10	BRCA_mRNAArray-20160128
PID_LKB1_PATHWAY	10	BRCA_mRNAArray-20160128
PID_P38_GAMMA_DELTA_PATHWAY	9	BRCA_mRNAArray-20160128
PID_RET_PATHWAY	10	BRCA_mRNAArray-20160128
POSTTRANSLATIONAL_REGULATION_OF_ADHERENS_JUNCTION_STABILITY_AND_DISSASSEMBLY	10	BRCA_mRNAArray-20160128
REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY	8	BRCA_mRNAArray-20160128
REPRESSION_OF_WNT_TARGET_GENES	10	BRCA_mRNAArray-20160128
RET_SIGNALING	10	BRCA_mRNAArray-20160128
REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	10	BRCA_mRNAArray-20160128
RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	7	BRCA_mRNAArray-20160128
SIGNALING_EVENTS_REGULATED_BY_RET_TYROSINE_KINASE	10	BRCA_mRNAArray-20160128
SIGNALING_MEDIATED_BY_P38-GAMMA_AND_P38-DELTA	9	BRCA_mRNAArray-20160128
stage	9	clinical
SYNTHESIS_OF_IP2._IP._AND_INS_IN_THE_CYTOSOL	8	BRCA_mRNAArray-20160128
SYNTHESIS_OF_PC	7	BRCA_mRNAArray-20160128
SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	8	BRCA_mRNAArray-20160128
SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL	8	BRCA_mRNAArray-20160128
TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS._METAL_IONS_AND_AMINE_COMPOUNDS	9	BRCA_mRNAArray-20160128
VALIDATED_NUCLEAR_ESTROGEN_RECEPTOR_ALPHA_NETWORK	10	BRCA_mRNAArray-20160128
ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY	9	BRCA_mRNAArray-20160128
ZINC_TRANSPORTERS	10	BRCA_mRNAArray-20160128
